,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu (v příslušném písmu),Údaje o odpovědnosti a další informace,Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Překladatel/ka,Zdroj či odkaz,Volná poznámka,tecnická poznámka
0,1,kniha,,souborné dílo,překlad,,"Havel, Václav (jk01040240)",Audiens. Vernissage. Protest : Tre enaktare of författaren Vaněk.,Övers. Evan Lindekrantz och Kent Andersson. Förord av förf. ,Originál neexistuje,swe,cze,,,Lund (Švédsko) : Pegas,,,118.0,1990.0,,"Lindekrantz, Eva § Andersson, Kent",Bergstrand 1992,předmluva Václav Havel,ustálené souborné dílo
1,2,část knihy,1.0,celé dílo ,,,,Audiens,,Audience,,,,,,,,,,,,Bergstrand 1992,,
2,3,část knihy,1.0,celé dílo ,,,,Vernissage,,Vernisáž,,,,,,,,,,,,Bergstrand 1992,,
3,4,část knihy,1.0,celé dílo ,,,,Protest,,Prostest,,,,,,,,,,,,Bergstrand 1992,,
4,5,kniha,,celé dílo ,překlad,,"Němcová, Božena (jk01083016)",الجدة [Al-Džadda],,Babička,ara,cze,,,Damašek (Sýrie): لهيئة العامة السورية للكتاب [česká transkripce],,,,2011.0,, [česká transkripce]غياث الموصلي,https://www.goodreads.com/book/show/26818878,poprvé vydáno 1957,
5,6,kniha,,celé dílo ,,,,Ny tjeckisk och slovakisk prosa,I urval och med förord och författarpresentationer av Marie Rádlová-Jensen,Originál neexistuje,swe,cze,,,Stockholm (Švédsko) : W&W § Helsinki (Finsko) : Schildt,W&W-serien ; 91,,197.0,1965.0,,"Olsson, Gunnar",Bergstrand 1992,předmluva a profily autorů Marie Jensen-Rádlová,
6,7,část knihy,6.0,celé dílo ,překlad,,"Hrabal, Bohumil (jk01042564)",Prags julkrubbor,,Pražské jesličky,swe,cze,,,,,,,,,,Bergstrand 1992,,
7,8,kniha,,celé dílo ,překlad,,"Procházka, Jan (jk01101145)",Leve republiken!,,Ať žije republika,swe,cze,ger,Es lebe die Republik,Stockholm (Švédsko) : Rabén & Sjögren,,,212.0,1970.0,,"Hoffsten, Olof",Bergstrand 1992,,
8,9,kniha,,celé dílo ,překlad,,"Procházka, Jan (jk01101145)",Vilket tokig familj!,Illustr. av Frans Haaken. Övers. Sune Karlsson. Övers. fraan den tyska utg. Was für eine verrückte Familie. ,Naše bláznivá rodina,swe,cze,ger,Was für eine verrückte Familie,Stockholm (Švédsko) : Bergh,,,75.0,1977.0,,"Karlsson, Sune",Bergstrand 1992,druhé vydání 1979; ilustrace Frans Haacken,
9,10,článek v časopise,,celé dílo ,překlad,,"Šimečka, Milan (jk01123018)",Jämvikt,,Balada o rovnováze,swe,cze,,,Švédsko,,"Agora, 1986, 1",,1986.0,,"Kleberg, Olof",Bergstrand 1992,,
10,11,článek v časopise,,celé dílo ,překlad,,"Škvorecký, Josef (jk01130413)",Eine kleine Jazzmusik,,Eine kleine Jazzmusik,swe,cze,,,Švédsko,,"Bonniers litterära magasin, 38, 1969, 7",,1969.0,,"Lovén, Björn",Bergstrand 1992,,
11,12,kniha,,celé dílo ,překlad,,"Fuks, Ladislav (jk01032159)",Il signor Theodor Mundstock,,Pan Theodor Mundstock,ita,cze,,,Torino (Itálie) : Einaudi,I coralli ; 79,,219.0,1997.0,88-06-14663-7,"Brignole, Francesco",https://opac.sbn.it/risultati-ricerca-avanzata/-/opac-adv/detail/LO10446484 § https://www.worldcat.org/title/797591192,,
13,14,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)","
La guerra delle salamandre",Illustrazioni di Tono Zancanaro ,Válka s mloky,ita,cze,,,Roma (Itálie) : Editori riuniti,,,367.0,1961.0,,"Meriggi, Bruno ",http://id.sbn.it/bid/SBL0136283,,
14,15,kniha,,souborné dílo,překlad,,"Čapek, Karel (jn19981002512)",Hordubal ed altri ,,Originál neexistuje,ita ,cze,,,Milano (Itálie) : Silva,,,510.0,1961.0,,"Mariano, Giuseppe",http://id.sbn.it/bid/RAV0120554,,ustálené souborné dílo
15,16,část knihy,15.0,celé dílo ,překlad,,,Hodrubal,,Hordubal,ita ,cze,,,,,,,,,,,,
16,17,část knihy,15.0,celé dílo ,překlad,,,Una meteora,,Povětroň,ita ,cze,,,,,,,,,,,,
17,18,část knihy,15.0,celé dílo ,překlad,,,Una vita in comune,,Obyčejný život,ita ,cze,,,,,,,,,,,,
18,19,kniha,,souborné dílo,překlad,,"Čapek, Karel (jn19981002512)",Racconti dall’una e dall’altra tasca,,Originál neexistuje,ita ,cze,,,Milano (Itálie) : Bompiani,,,425.0,1962.0,,"Meriggi, Bruno ",http://id.sbn.it/bid/LIA0022888,,ustálené souborné dílo
19,20,část knihy,19.0,celé dílo ,překlad,,,Racconti dall’una tasca,,Povídky z jedné kapsy,ita ,cze,,,,,,,,,,,,
20,21,část knihy,19.0,celé dílo ,překlad,,,Racconti dall’altra tasca,,Povídky z druhé kapsy,ita ,cze,,,,,,,,,,,,
21,22,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",La fabbrica dell'assoluto,"Introduzione, traduzione e cura di Annelisa Alleva",Továrna na absolutno,ita ,cze,,,Roma (Itálie) : Theoriac § Napoli (Itálie) : Theoria ,,,200.0,1984.0,,"Alleva, Annelisa",http://id.sbn.it/bid/RAV0120549,,
22,23,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",Il libro degli apocrifi,,Kniha apokriyfu,ita ,cze,,,Roma (Itálie) : Editori riuniti,,,143.0,1989.0,88-359-3277-7,"De Nardis, Luisa",http://id.sbn.it/bid/CFI0192098,,
23,24,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",Racconti da una tasca,,Povídky z jedné kapsy,ita ,cze,,,Piombino (Itálie) : Aktis,,,169.0,1989.0,88-85120-03-2,"Chiti Chitilova, Susanna § Pucci, Nilo ",http://id.sbn.it/bid/RAV0089663,,
24,25,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",Fogli italiani,,Italské listy,ita ,cze,,,Palermo (Itálie) : Sellerio,,,123.0,1992.0,,"Galdo, Daniela",http://id.sbn.it/bid/LO10249557,,
25,26,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",Dášenka : La vita di un cucciolo,Con disegni e foto dell'Autore,Dášenka : čili život štěněte ,ita ,cze,,,Roma (Itálie) : Biblioteca del Vascello ,,,91.0,1992.0,88-7227-511-3,"Fazzi, Giancarlo",http://id.sbn.it/bid/TO00301579,,
26,27,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",Grandi favole,,Devatero pohádek,ita ,cze,,,Miláno (Itálie) : Edizioni scolastiche Bruno Mondadori,,,192.0,1995.0,88-424-0139-0,"Rivolta, Simona",http://id.sbn.it/bid/RAV0270202,,
27,28,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",R.U.R. : Rossums universal robots : da dove nacque la progenie del Cyborg,,R.U.R.,ita ,cze,,,Bologna (Itálie) : Synergon,,,127.0,1995.0,,"De Simone, Vanni",https://galileodiscovery.unipd.it/permalink/39UPD_INST/prmo4k/alma990010130410206046,,
28,29,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",La vita e l'opera del compositore Foltyn,Postfazione di Giancarlo Fazzi e Danilo Manera,Život a dílo skladatele Foltýna,ita ,cze,,,Genova (Itálie) : Marietti,,,121.0,1988.0,88-211-6211-7,"Fazzi, Giancarlo",http://id.sbn.it/bid/TO00135158,,
29,30,kniha,,celé dílo ,překlad,,"Čapek, Karel (jn19981002512)",R.U.R. : Rossum's Universal Robots,,R.U.R.,ita ,cze,,,Venezia (Itálie) : Marsilio,,,169.0,2015.0,978-88-317-2094-6,"Catalano, Alessandro",http://id.sbn.it/bid/RMS2820415,,
30,31,kniha,,souborné dílo,překlad,,"Hašek, Jaroslav (jk01040097)",Švejk contro l'Italia : racconti 1904-1923,,Originál neexistuje,ita ,cze,,,"
Milano (Itálie) : Garzanti",,,454.0,1975.0,,"
Corduas, Sergio",http://id.sbn.it/bid/FER0006792,,
31,32,část knihy,31.0,celé dílo ,překlad,,,Parte prima: 1904-1915,,Originál neexistuje,ita ,cze,,,,,,,,,,,,
32,33,část knihy,31.0,celé dílo ,překlad,,,Parte seconda: 1916-1920,,Originál neexistuje,ita ,cze,,,,,,,,,,,,
